"Wavelength","Alexa Fluor 532 EM","Alexa Fluor 532 EX"
300,,0.236
301,,0.219
302,,0.2053
303,,0.1916
304,,0.1785
305,,0.1696
306,,0.161
307,,0.1515
308,,0.1471
309,,0.1424
310,,0.139
311,,0.1378
312,,0.138
313,,0.1387
314,,0.14
315,,0.1419
316,,0.1424
317,,0.1444
318,,0.1439
319,,0.1457
320,,0.1474
321,,0.1473
322,,0.1456
323,,0.1477
324,,0.148
325,,0.1467
326,,0.1479
327,,0.1497
328,,0.151
329,,0.1511
330,,0.1517
331,,0.1527
332,,0.1516
333,,0.1502
334,,0.1482
335,,0.145
336,,0.1408
337,,0.135
338,,0.1301
339,,0.1223
340,,0.1156
341,,0.1109
342,,0.105
343,,0.0987
344,,0.0948
345,,0.0904
346,,0.0871
347,,0.0842
348,,0.0825
349,,0.081
350,,0.0811
351,,0.0794
352,,0.0803
353,,0.0806
354,,0.0807
355,,0.0809
356,,0.0823
357,,0.0825
358,,0.0834
359,,0.0844
360,,0.085
361,,0.0859
362,,0.0863
363,,0.0859
364,,0.0862
365,,0.0852
366,,0.0843
367,,0.0832
368,,0.0824
369,,0.081
370,,0.0787
371,,0.0775
372,,0.0751
373,,0.0728
374,,0.0712
375,,0.0684
376,,0.0663
377,,0.0634
378,,0.061
379,,0.0587
380,,0.0572
381,,0.0536
382,,0.0516
383,,0.0498
384,,0.0465
385,,0.0452
386,,0.0428
387,,0.0416
388,,0.0399
389,,0.0375
390,,0.0357
391,,0.0342
392,,0.0326
393,,0.0314
394,,0.0301
395,,0.0288
396,,0.0272
397,,0.0269
398,,0.0254
399,,0.0247
400,,0.0233
401,,0.0227
402,,0.0216
403,,0.0211
404,,0.0199
405,,0.0192
406,,0.0187
407,,0.018
408,,0.0174
409,,0.0172
410,,0.0165
411,,0.0167
412,,0.0164
413,,0.016
414,,0.0157
415,,0.016
416,,0.0157
417,,0.0159
418,,0.016
419,,0.0158
420,,0.016
421,,0.0155
422,,0.0164
423,,0.0162
424,,0.0161
425,,0.0168
426,,0.017
427,,0.0168
428,,0.0175
429,,0.0184
430,,0.0182
431,,0.0183
432,,0.0195
433,,0.0199
434,,0.0204
435,,0.0215
436,,0.0219
437,,0.0222
438,,0.0227
439,,0.0234
440,,0.0246
441,,0.0257
442,,0.0264
443,,0.0278
444,,0.0287
445,,0.0292
446,,0.0309
447,,0.0328
448,,0.0336
449,,0.0352
450,,0.037
451,,0.0385
452,,0.0412
453,,0.0426
454,,0.0452
455,,0.0473
456,,0.05
457,,0.0519
458,,0.0555
459,,0.0574
460,,0.061
461,,0.064
462,,0.0672
463,,0.0703
464,,0.0741
465,,0.0773
466,,0.0808
467,,0.0845
468,,0.0878
469,,0.0916
470,,0.096
471,,0.0999
472,,0.1042
473,,0.1095
474,,0.1148
475,,0.1196
476,,0.1256
477,,0.1316
478,,0.139
479,,0.146
480,,0.1542
481,,0.1625
482,,0.1721
483,,0.181
484,,0.1917
485,,0.2026
486,,0.214
487,,0.2251
488,,0.2375
489,,0.2498
490,,0.2629
491,,0.2755
492,,0.2887
493,,0.3006
494,,0.3132
495,,0.3244
496,,0.3366
497,,0.3462
498,,0.3569
499,,0.3655
500,,0.3749
501,,0.3821
502,,0.39
503,,0.3973
504,,0.4043
505,,0.4109
506,,0.4184
507,,0.4261
508,,0.4346
509,,0.4438
510,,0.4545
511,,0.4663
512,,0.48
513,,0.4941
514,,0.5114
515,,0.5296
516,,0.5504
517,,0.5725
518,,0.5976
519,,0.6239
520,0.057,0.6522
521,0.0636,0.6825
522,0.0733,0.7143
523,0.0865,0.7465
524,0.1007,0.7793
525,0.1178,0.8116
526,0.1362,0.8444
527,0.1603,0.8749
528,0.1849,0.9042
529,0.2118,0.9304
530,0.246,0.9538
531,0.2825,0.9724
532,0.3199,0.9869
533,0.3571,0.9965
534,0.3986,1
535,0.4403,0.9977
536,0.4842,0.99
537,0.5299,0.976
538,0.5772,0.957
539,0.6207,0.9315
540,0.6659,0.9019
541,0.7112,0.8668
542,0.7573,0.8292
543,0.7942,0.7873
544,0.8349,0.7433
545,0.8668,0.6984
546,0.8971,0.652
547,0.9234,0.6051
548,0.9445,0.5586
549,0.9612,0.5129
550,0.9781,0.4681
551,0.9897,0.4257
552,0.9961,0.3844
553,1,0.3463
554,0.9976,0.3107
555,0.9923,0.2773
556,0.9874,0.2475
557,0.977,0.2203
558,0.9658,0.196
559,0.9489,0.1734
560,0.9293,0.1532
561,0.9107,0.1358
562,0.8928,0.1204
563,0.87,0.1062
564,0.8458,0.0942
565,0.8251,0.0835
566,0.8013,0.074
567,0.7756,0.0656
568,0.7551,0.058
569,0.7306,0.0514
570,0.7078,0.0458
571,0.6844,0.0406
572,0.6607,0.0364
573,0.6397,0.0323
574,0.6197,0.0289
575,0.5969,0.0258
576,0.579,0.0236
577,0.5642,0.0211
578,0.5439,0.0192
579,0.526,0.0174
580,0.5114,0.016
581,0.4938,0.0148
582,0.4798,0.0138
583,0.4646,0.0125
584,0.4503,0.0118
585,0.4391,0.0111
586,0.4283,0.0104
587,0.4127,0.0098
588,0.4047,0.0093
589,0.3935,0.0093
590,0.3817,0.0084
591,0.372,0.0087
592,0.3628,0.0082
593,0.3519,0.0079
594,0.3439,0.0075
595,0.3379,0.0074
596,0.3259,0.0073
597,0.316,0.0069
598,0.3068,0.0071
599,0.3,0.0065
600,0.2905,0.0068
601,0.2844,0.0067
602,0.2757,0.0066
603,0.2685,0.0064
604,0.2607,0.0064
605,0.2554,0.0064
606,0.2475,0.0064
607,0.2404,0.0066
608,0.2331,0.0062
609,0.2258,0.0058
610,0.2175,0.0063
611,0.2119,0.006
612,0.2042,0.006
613,0.1975,0.006
614,0.1914,0.0059
615,0.1856,0.0058
616,0.1807,0.006
617,0.1743,0.0061
618,0.1694,0.006
619,0.1618,0.0058
620,0.1571,0.0058
621,0.1523,0.0058
622,0.1465,0.0054
623,0.1404,0.0057
624,0.1356,0.0057
625,0.1294,0.0056
626,0.1249,0.0057
627,0.1221,0.0057
628,0.1183,0.0059
629,0.1123,0.0056
630,0.1089,0.0056
631,0.105,0.0056
632,0.1013,0.0053
633,0.0978,0.0056
634,0.0935,0.0055
635,0.09,0.0056
636,0.0865,0.0056
637,0.0843,0.0052
638,0.081,0.0054
639,0.0783,0.0055
640,0.0752,0.0052
641,0.0731,0.0056
642,0.0707,0.0052
643,0.0674,0.0053
644,0.0645,0.0053
645,0.0621,0.0054
646,0.0599,0.0054
647,0.0566,0.0051
648,0.0544,0.0054
649,0.0521,0.0056
650,0.0508,0.0051
651,0.0494,0.0053
652,0.047,0.0053
653,0.0474,0.0051
654,0.046,0.0053
655,0.045,0.0051
656,0.0437,0.005
657,0.0422,0.0051
658,0.0408,0.0049
659,0.0398,0.0051
660,0.0382,0.005
661,0.0371,0.0053
662,0.0362,0.0048
663,0.0349,0.005
664,0.0342,0.0048
665,0.0338,0.0049
666,0.0327,0.0047
667,0.0316,0.0049
668,0.0304,0.0047
669,0.0306,0.005
670,0.0289,0.0049
671,0.0279,0.005
672,0.0275,0.0048
673,0.026,0.0048
674,0.0255,0.0046
675,0.0249,0.0051