"Wavelength","Cy3B EM","Cy3B EX"
425,,0.0073
426,,0.0073
427,,0.0073
428,,0.0073
429,,0.0073
430,,0.0091
431,,0.0109
432,,0.0109
433,,0.011
434,,0.011
435,,0.011
436,,0.0146
437,,0.0146
438,,0.0146
439,,0.0182
440,,0.0182
441,,0.0217
442,,0.0217
443,,0.0217
444,,0.0235
445,,0.0253
446,,0.0289
447,,0.0289
448,,0.0325
449,,0.0343
450,,0.0361
451,,0.0379
452,,0.0397
453,,0.0415
454,,0.0451
455,,0.0469
456,,0.0487
457,,0.0523
458,,0.0594
459,,0.0665
460,,0.0665
461,,0.0665
462,,0.0666
463,,0.0684
464,,0.0737
465,,0.0773
466,,0.0809
467,,0.0827
468,,0.0863
469,,0.0881
470,,0.0917
471,,0.0988
472,,0.1042
473,,0.1096
474,,0.1132
475,,0.1204
476,,0.1382
477,,0.1454
478,,0.1526
479,,0.158
480,,0.1652
481,,0.1777
482,,0.1813
483,,0.1849
484,,0.1938
485,,0.201
486,,0.2082
487,,0.2135
488,,0.2207
489,,0.2333
490,,0.2404
491,,0.2404
492,,0.2458
493,,0.2494
494,,0.2547
495,,0.2583
496,,0.2637
497,,0.2763
498,,0.2871
499,,0.3031
500,,0.3103
501,,0.3175
502,,0.3336
503,,0.3479
504,,0.3641
505,,0.3784
506,,0.3945
507,,0.425
508,,0.4321
509,,0.4482
510,,0.4697
511,,0.4912
512,,0.5252
513,,0.536
514,,0.5682
515,,0.5844
516,,0.5952
517,,0.604
518,,0.6148
519,,0.6328
520,0.0054,0.6399
521,0.0054,0.6417
522,0.0054,0.6453
523,0.0054,0.6453
524,0.0054,0.6453
525,0.0054,0.6399
526,0.0054,0.6363
527,0.0054,0.6292
528,0.0054,0.622
529,0.0054,0.6185
530,0.0054,0.6077
531,0.0072,0.6005
532,0.009,0.5969
533,0.009,0.5934
534,0.009,0.5899
535,0.0108,0.5935
536,0.0125,0.597
537,0.0143,0.6167
538,0.0179,0.6275
539,0.0197,0.6453
540,0.0197,0.6615
541,0.0233,0.6794
542,0.0322,0.6973
543,0.0357,0.7081
544,0.0393,0.7439
545,0.0465,0.7689
546,0.0573,0.7904
547,0.0716,0.8066
548,0.0858,0.828
549,0.102,0.8836
550,0.1253,0.9122
551,0.1485,0.9302
552,0.1861,0.9462
553,0.2147,0.9606
554,0.2522,0.9892
555,0.2988,0.9964
556,0.3345,1
557,0.4007,1
558,0.4616,1
559,0.5242,1
560,0.5743,0.9946
561,0.6476,0.9875
562,0.712,0.9732
563,0.771,0.9445
564,0.8247,0.9087
565,0.8837,0.864
566,0.9124,0.7816
567,0.9463,0.7529
568,0.9714,0.7064
569,0.9875,0.6473
570,0.9964,0.5847
571,1,0.5095
572,1,0.4683
573,1,0.4109
574,0.9928,0.3233
575,0.9821,0.3017
576,0.9643,0.2713
577,0.9427,0.2319
578,0.9177,0.1961
579,0.8909,0.1675
580,0.8712,0.1388
581,0.8372,0.1245
582,0.8067,0.1048
583,0.771,0.0923
584,0.7442,0.0815
585,0.7317,0.0672
586,0.6834,0.0565
587,0.6547,0.0493
588,0.6315,0.0422
589,0.6082,0.035
590,0.5975,0.0314
591,0.5653,0.0278
592,0.5474,0.026
593,0.5366,0.026
594,0.517,0.0224
595,0.5045,0.0225
596,0.4866,0.0207
597,0.4776,0.019
598,0.474,0.019
599,0.4652,0.019
600,0.4544
601,0.4454
602,0.4419
603,0.4383
604,0.4365
605,0.4329
606,0.4329
607,0.4347
608,0.4365
609,0.4365
610,0.4401
611,0.4401
612,0.4401
613,0.4401
614,0.4401
615,0.4401
616,0.4401
617,0.4401
618,0.4401
619,0.4365
620,0.4347
621,0.4311
622,0.4257
623,0.4186
624,0.4133
625,0.4097
626,0.3989
627,0.3846
628,0.3774
629,0.3703
630,0.3596
631,0.3507
632,0.3345
633,0.3274
634,0.3148
635,0.3042
636,0.297
637,0.2845
638,0.2773
639,0.2647
640,0.254
641,0.2469
642,0.2397
643,0.2326
644,0.22
645,0.2093
646,0.2021
647,0.1897
648,0.1825
649,0.1753
650,0.1682
651,0.1664
652,0.161
653,0.1574
654,0.1538
655,0.1502
656,0.1485
657,0.1431
658,0.1395
659,0.1378
660,0.1342
661,0.1306
662,0.1253
663,0.1253
664,0.1217
665,0.1163
666,0.1145
667,0.1109
668,0.1109
669,0.1109
670,0.1073
671,0.1055
672,0.102
673,0.1002
674,0.0984
675,0.0966
676,0.0948
677,0.093
678,0.0912
679,0.0876
680,0.0823
681,0.0823
682,0.0788
683,0.0752
684,0.0752
685,0.0752
686,0.0716
687,0.0716
688,0.0662
689,0.0644
690,0.0644
691,0.0644
692,0.0644
693,0.0626
694,0.0608
695,0.0608
696,0.0608
697,0.0608
698,0.0573
699,0.0573
700,0.0537
701,0.0537
702,0.0519
703,0.0501
704,0.0501
705,0.0483
706,0.0447
707,0.0429
708,0.0429
709,0.0393
710,0.0375
711,0.0357
712,0.034
713,0.034
714,0.034
715,0.034
716,0.034
717,0.0322
718,0.0304
719,0.0304
720,0.0304
721,0.0304
722,0.0304
723,0.0269
724,0.0269
725,0.0269
726,0.0269
727,0.0251
728,0.0233
729,0.0233
730,0.0215
731,0.0197
732,0.0197
733,0.0197
734,0.0197
735,0.0197
736,0.0197
737,0.0197
738,0.0197
739,0.0197
740,0.0179
741,0.0161
742,0.0161
743,0.0161
744,0.0161
745,0.0161
746,0.0161
747,0.0161
748,0.0161